wootii niiyou heesiini hee3ohwooni3 'oh hih'ow3o'P hih'ow3o'nee'ee3obeeno'	wootii niiyou heesi @@ini hee3ohwoo @@ni3 'oh hih @@'ow3o' @@P hih @@'ow3o' @@nee'ee3obee @@no'
'oh siiyeih hiiwoonhehe' hoowooh'uni	'oh siiyeih hiiwoonhehe' hoowooh @@'uni
Nihtonounowoo biiino' noh hoote	nih @@tonoun @@owoo biii @@no' noh hoote
noh heetbeebebeenoxuuheit	noh heet @@bee @@bebeenoxuuh @@eit
heetne'ii'P woowooyoo'ohk heet-ne'ii'cencei'soo'	heet @@ne'ii' @@P woo @@wooyoo' @@ohk heet @@ne'ii' @@cen @@cei'soo @@'
hito'oowuu' he3ebciiteit	hit @@o'oowuu' he3eb @@ciitei @@t
Noh ne'ce'niisiine'etiinoo	noh ne' @@ce' @@niis @@iine'etii @@noo
heeninouhuP heninouhusei	heeninouhu @@P heninouhusei
yeoh heentoo3i' hecexonoh'oehih'o' nihtouninee3i'	yeoh heentoo @@3i' hecexonoh'oehih'o' nih @@touninee @@3i'
Nono'o3oo' tohwonoo3eet 3owo3nenitee hoowoe'in nuh'uuno niiseenetiitooni'	nono'o3oo @@' toh @@wonoo3ee' 3owo3nenitee hoowoe'in nuh'uuno niis @@eenetiitooni @@'
NeeP Hoowu'unP hoowu'unbebiisei'towuunein noh tohxonounee'eesoo' nehe' nih'oo3ou'u	nee @@P hoowu'un @@P hoowu'un @@bebiis @@ei'towuun @@ein noh toh @@xonou @@nee'eesoo' nehe' nih'oo3ou'u
hoowuuhu' be'3eino'o:	hoowuuhu' be'3eino'o
Bernita kuhniistii hi'in potato salad	Bernita kuh @@niistii hi'in potato salad
Betee betee tihP	betee betee tih @@P
totoos he'ihciisiteeboutee	totoos he'ih @@cii @@siteeboutee
'oh heeneesiihi' he'ihce3ei'oo	'oh heeneesiihi' he'ih @@ce3ei'oo
wo'ei3 nih'iitniisi3ei'it	wo'ei3 nih'iit @@niisi3ei'i @@t
Neihoowoe'in wohoe'iiwonoote'inowuu	neihoowoe'in wohoe' @@ii @@wonoote'in @@owuu
nihwoo3eeni3i hiisoh'oho noh hiteseiwo ne'iteneit hinii'iwoho' tih'ecexookeet	nih @@woo3ee @@ni3i hi @@isoh'oho noh hi @@teseiwo ne' @@iten @@eit hini @@i'iwoho' tih @@'ecexookee @@t
wohoe'tihciineenit heetnehP hetnehcebineyei3eihoohok netei'yooniibinoo heenei'isiihi'	wohoe' @@tih @@cii @@neeni @@t heetn @@eh @@P hetn @@eh @@cebi @@neyei3eih @@oohok ne @@tei'yooniib @@inoo heenei'isiihi'
'oo	'oo
ko3eiP ko3eibeh'eihehi' neneeninoo	ko3ei @@P ko3ei @@beh'eihehi' neneeni @@noo
Hih'oo heetyihoonoo neisii hee3eihok hini'iiwoho' Hooxebine'	hih'oo heet @@yihoo @@noo ne @@isii hee3 @@eihok hini @@'iiwoho' hooxebin @@e'
heeneitP heeneitohP heenentoo3i' bohooyeitee'	heen @@eit @@P hee @@nei @@toh @@P heen @@entoo @@3i' bohooyeitee @@'
