Al - Zaman : American forces killed Shaikh Abdullah al - Ani , the preacher at the mosque in the town of Qaim , near the Syrian border .	Al - Zaman : American forces killed Shaikh Abdullah al - Ani , the preacher at the mosque in the town of Qaim , near the Syrian border .
[ This killing of a respected cleric will be causing us trouble for years to come . ]	[ This killing of a respected cleric will be causing us trouble for years to come . ]
DPA : Iraqi authorities announced that they had busted up 3 terrorist cells operating in Baghdad .	DPA : Iraqi authorities announced that they had busted up 3 terrorist cells operating in Baghdad .
Two of them were being run by 2 officials of the Ministry of the Interior !	Two of them were being run by 2 official @@s of the Ministry of the Interior !
The third was being run by the head of an investment firm .	The third was being run by the head of an investment firm .
You wonder if he was manipulating the market with his bombing targets .	You wonder if he was manipulating the market with his bombing targets .
The cells were operating in the Ghazaliyah and al - Jihad districts of the capital .	The cells were operating in the Ghazaliyah and al - Jihad district @@s of the capital .
Although the announcement was probably made to show progress in identifying and breaking up terror cells , I do n't find the news that the Baathists continue to penetrate the Iraqi government very hopeful .	Although the announcement was probably made to show progress in identifying and breaking up terror cells , I do n't find the news that the Baathist @@s continue to penetrate the Iraqi government very hopeful .
It reminds me too much of the ARVN officers who were secretly working for the other side in Vietnam .	It reminds me too much of the ARVN officer @@s who were secretly working for the other side in Vietnam .
Al - Zaman : Guerrillas killed a member of the Kurdistan Democratic Party after kidnapping him in Mosul .	Al - Zaman : Guerrillas killed a member of the Kurdistan Democratic Party after kidnapping him in Mosul .
The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul , whereas there had been a big jump in the number of kidnappings .	The police commander of Ninevah Province announced that bombing @@s had declined 80 percent in Mosul , whereas there had been a big jump in the number of kidnapping @@s .
On Wednesday guerrillas had kidnapped a cosmetic surgeon and his wife while they were on their way home .	On Wednesday guerrilla @@s had kidnapped a cosmetic surgeon and his wife while they were on their way home .
In Suwayrah , Kut Province , two car bombs were discovered before they could be detonated .	In Suwayrah , Kut Province , two car bombs were discovered before they could be detonated .
( Kut is in southeastern Iraq and has an overwhelmingly Shiite population , who are on the lookout for Baathist saboteurs and willingly turn them in .	( Kut is in southeastern Iraq and has an overwhelming @@ly Shiite population , who are on the lookout for Baathist saboteurs and willing @@ly turn them in .
This willingness is the main difference in the number of bombings in the south as opposed to the center - north of the country . )	This willingness is the main difference in the number of bombing @@s in the south as opposed to the center - north of the country . )
In Baghdad Kadhim Talal Husain , assistant dean at the School of Education at Mustansiriyah University , was assassinated with his driver in the Salikh district .	In Baghdad Kadhim Talal Husain , assistant dean at the School of Education at Mustansiriyah University , was assassinated with his driver in the Salikh district .
Guerrillas killed an engineer , Asi Ali , from Tikrit .	Guerrillas killed an engineer , Asi Ali , from Tikrit .
They also killed Shaikh Hamid 'Akkab , a clan elder of a branch of the Dulaim tribe in Tikrit .	They also killed Shaikh Hamid 'Akkab , a clan elder of a branch of the Dulaim tribe in Tikrit .
His mother was also killed in the attack .	His mother was also killed in the attack .
Two other Dulaim leaders have been killed in the past week and a half .	Two other Dulaim leaders have been killed in the past week and a half .
Guerrillas near Hawijah launched an attack that left 6 dead , including 4 Iraqi soldiers .	Guerrillas near Hawijah launched an attack that left 6 dead , including 4 Iraqi soldier @@s .
One of them was from the Jubur tribe and was deputy commander of the Hawijah garrison .	One of them was from the Jubur tribe and was deputy commander of the Hawijah garrison .
( This is a largely Sunni Arab clan , and some Sunni observers have accused Shiite elements in the government of being behind the assassination ; it is more likely the work of Sunni Arab guerrillas punishing the Batawi leaders for cooperating with the Dec. 15 elections . )	( This is a largely Sunni Arab clan , and some Sunni observers have accused Shiite element @@s in the government of being behind the assassination ; it is more likely the work of Sunni Arab guerrilla @@s punishing the Batawi leaders for cooperating with the Dec. 15 election @@s . )
Al - Zaman : The Iraqi High Electoral Commission on Friday denied a request of the Debaathification Commission to exclude 51 individuals from running on party lists in the Dec. 15 elections on grounds of having been sufficiently involved in Baath activities to warrant their being excluded from civil office .	Al - Zaman : The Iraqi High Electoral Commission on Friday denied a request of the Debaathification Commission to exclude 51 individual @@s from running on party lists in the Dec. 15 election @@s on ground @@s of having been sufficient @@ly involved in Baath activities to warrant their being excluded from civil office .
The Commission said it had no legal grounds for such an exclusion .	The Commission said it had no legal ground @@s for such an exclusion .
This item is a small one and easily missed .	This item is a small one and easily missed .
But in my view it is highly significant .	But in my view it is highly significant .
The Debaathification Commission had been pushed by Ahmad Chalabi and his Iraqi National Congress very hard , and had pushed many Sunni Arabs into the arms of the guerrillas .	The Debaathification Commission had been pushed by Ahmad Chalabi and his Iraqi National Congress very hard , and had pushed many Sunni Arabs into the arms of the guerrilla @@s .
Chalabi has been increasingly marginalized within Iraq , however , despite his ties of clientelage with Washington and Tehran .	Chalabi has been increasing @@ly marginalized within Iraq , however , despite his ties of clientelage with Washington and Tehran .
He is no longer in the dominant Shiite list , the United Iraqi Alliance , and wo n't have many seats in the new parliament .	He is no longer in the dominant Shiite list , the United Iraqi Alliance , and wo n't have many seats in the new parliament .
Some 2,000 junior officers of the old Baath army have been recalled to duty in recent months , something Chalabi would have blocked if he could have .	Some 2,000 junior officer @@s of the old Baath army have been recalled to duty in recent months , something Chalabi would have blocked if he could have .
Now the Electoral Commission is refusing to punish people for mere past Baath Party membership .	Now the Electoral Commission is refusing to punish people for mere past Baath Party membership .
If someone committed a crime against humanity , prosecute the person .	If someone committed a crime against humanity , prosecute the person .
If he or she did not , then they should have all the same rights as other Iraqis .	If he or she did not , then they should have all the same rights as other Iraqi @@s .
Al - Sharq al - Awsat reports that a key eyewitness in the trial of Saddam Hussein for a 1982 massacre at Dujail has died .	Al - Sharq al - Awsat reports that a key eyewitness in the trial of Saddam Hussein for a 1982 massacre at Dujail has died .
A team from the court managed to take his deposition before he died .	A team from the court managed to take his deposition before he died .
The trial begins again Nov. 28 .	The trial begins again Nov. 28 .
Baghdadis do n't venture much out of their neighbourhoods any more , you never know where you might get stuck .	Baghdadis do n't venture much out of their neighbourhood @@s any more , you never know where you might get stuck .
There has been talk that the night curfew might be implemented again .	There has been talk that the night curfew might be implemented again .
My neighbourhood has been surrounded by American troops for three days now , helicopters have been circling over our heads non-stop .	My neighbourhood has been surrounded by American troops for three days now , helicopter @@s have been circling over our heads non @@- @@stop .
Fedayeen are now visible on the street and they have become bolder than ever .	Fedayeen are now visible on the street and they have become bolder than ever .
They are setting the road blocks at the exact same positions they were during the war last year , which indicates they are the same people .	They are setting the road blocks at the exact same position @@s they were during the war last year , which indicate @@s they are the same people .
And there is nothing we can do about it really , people who are suggesting that we go out and fight them are living in dream land .	And there is nothing we can do about it really , people who are suggesting that we go out and fight them are living in dream land .
Even the IP and ICDC have abandoned the neighbourhood , and those are trained and armed , so do n't expect scared civilians to do anything except to hide inside and pray a helicopter or a tank does n't bomb them , and also how are American soldiers going to distinguish the brave and valiant civilians from the Fedayeen ?	Even the IP and ICDC have abandoned the neighbourhood , and those are trained and armed , so do n't expect scared civilian @@s to do anything except to hide inside and pray a helicopter or a tank does n't bomb them , and also how are American soldier @@s going to distinguish the brave and valiant civilian @@s from the Fedayeen ?
Everyone is apprehensive , there is some talk that April 9th and 10th are going to be bloody days .	Everyone is apprehensive , there is some talk that April 9th and 10th are going to be bloody days .
Most people have n't gone to work the last few days , although it seems that the rest of Baghdad is ' normal ' ( if you can define what normal is ) .	Most people have n't gone to work the last few days , although it seems that the rest of Baghdad is ' normal ' ( if you can define what normal is ) .
"There are rumours about preparations by slum dwellers for another looting spree against banks , governmental and public property similar to the one that took place last April , and I have already overheard youngsters in my neighbourhood joking about it and saying things like "" This time we will be the first to loot , we did n't get anything the last time "" ."	"There are rumours about preparation @@s by slum dwellers for another looting spree against banks , governmental and public property similar to the one that took place last April , and I have already overheard youngster @@s in my neighbourhood joking about it and saying things like "" This time we will be the first to loot , we did n't get anything the last time "" ."
Mosques are calling for donating blood , food , and medicine for Fallujah , and several convoys have already headed out for Fallujah , most of them returned later though .	Mosques are calling for donating blood , food , and medicine for Fallujah , and several convoys have already headed out for Fallujah , most of them returned later though .
So what happened ?	So what happened ?
I guess it 's just the old new Arab ' Me against my brother , me and my brother against my cousin , me and my cousin against my enemy ' , or ' The enemy of my enemy is my friend ' thing going on again .	I guess it 's just the old new Arab ' Me against my brother , me and my brother against my cousin , me and my cousin against my enemy ' , or ' The enemy of my enemy is my friend ' thing going on again .
Speaking of Fallujah , we have only Al - Jazeera to rely on for our news from there .	Speaking of Fallujah , we have only Al - Jazeera to rely on for our news from there .
They have sent over their top reporter Ahmed Mansour to the town , and he is spouting all kinds of propaganda hourly reminding me of Al - Sahhaf .	They have sent over their top reporter Ahmed Mansour to the town , and he is spouting all kinds of propaganda hourly reminding me of Al - Sahhaf .
