Фу кайла гум гьатна кӀвала , хтана зу стха Бешир стха хтана акуна .	фу кун @@й @@ла гум гьатун @@на кӀвал @@е , хтун @@на зу стха Бешир стха хтун @@на акун @@на .
Къанивилин , мугьубатдин са гаф гудайвал хьуй .	къан @@ди @@ар @@ди @@н , мугьубат @@ди @@н са гаф гуда @@да @@ай @@вал хьун @@й .
Бакидиз хъфена	баку @@ди @@з хъфе @@на
Им и вири цехера акъвенва .	им и вири цехер @@ди акъвенва @@нва .
ахпа няни хьана , ксана йифиз ана .	ахпа няни хьун @@на , ксун @@на йиф @@ди @@з ана .
« Твах и зи шикил », лугьуда , « а ,» лугьуда « анавай вилаятдин кьилел алай булахдин кьилел эциг » лугьуда .	« Твах и зи шикил », лугьу @@да , « а ,» лугьу @@е « анавай @@й вилаятда @@ди @@н кьил @@е @@л ала @@й булах @@ди @@н кьил @@е @@л эциг » лугьу @@да .
Сарах , сарах зунни Имран тфенгни къачуна фена чун руказ .	сарах , сарах зун @@ни Имран тфенг @@ни къачун @@на фин @@на чун руказ @@ди @@з .
муаллим юлдашари ...	муаллим юлдаш @@ар @@ди ...
фена зун и Бакуда авай зу аялдин патав	фин @@на зун и Баку @@е ава @@й зу аял @@ди @@н патав
"Асеф Мегьманан суварилай къулухъ чун "" Шагьдагъ "" ресторандиз фенай , ацакьна и межлис къейд ийин патакай ."	"асеф Мегьманан @@ди @@н суварилай @@ди @@л @@ай къулухъ чун "" Шагьдагъ "" ресторандиз @@ди @@з фин @@на @@й , ацукьун @@на и межлис къейд ийин @@н патакай ."
Гьар вич акурла хкаждий , къведий , вичал кьве кӀвачел акъваздай кицӀ , лагьана , гила , лагьана , кьил кьехе туна вилер чуьнуьхарзава вичикай , лагьана .	гьар вич акур @@ла хкаж @@ди @@й , къвен @@ди @@й , вич @@ди @@л кьве кӀвач @@е @@л акъвазин @@да @@й кицӀ , лугьун @@на , гила , лугьун @@на , кьил кьехе ту @@на вил @@ер чуьнуьхин @@ар @@зва вич @@ди @@к @@ай , лагьа @@на .
За гьабур маса къачуна , вирини за ваз багъишламишзава .	за гьабур маса къачу @@на , вири @@ни за ва @@з багъишламишатӀани @@зва .
« Фена гъваш абур , тахьайтӀа за ви кьил атӀуз гуда исятда ».	« фе @@на гъваш абур , тахьайтӀа @@тӀа за ви кьил атӀуд @@з гуда @@да исятда @@е ».
АкӀ жезвай хьи , кӀурцӀулди вичал залай жуваз жувазни чин тийиз зун ктӀан хьана идал .	АкӀ жен @@зва @@й хьи , кӀурцӀул @@ди вичал за @@л @@ай жув @@ди @@з жув @@ди @@з @@ни чи @@н тийин @@з зун ктӀан хьун @@на идани @@л .
Лезгиярни Азербайджанда тазвайди тучир .	лезги @@ар @@ни Азербайджан @@е тан @@зва @@й @@ди тучир .
Анай таможня алай Россиядин	анай таможня ала @@й Россия @@ди @@н
И балкӀандини лугьуда хьи , « аку », лугьуда , « ваз а руш акунгаз на лагь хьи », лугьуда , « я руш , заз са къапина цвана яд це .	и балкӀан @@ди @@ни лугьу @@да хьи , « аку », лугьу @@да , « ва @@з а руш акунгаз на лагьа хьи », лугьу @@да , « я руш , за @@з са къапина @@ди @@на цвана @@на яд це .
