Ncblo lcng nzrlimzng x lr Gwalekana esz' .	ncblo lcng nz @@rlimz @@ng x lr Gwalekana esz' .
Zbz sc tqwaipele tqnginipenge kraesz'mz .	zbz sc tq @@wai @@pe @@le tq @@ngini @@pe @@nge kraesz'mz .
Mrlz voomc x sc tqrtangrtipex nqvi lr legru kc tqdopx-ngrne mrkc wq .	mrlz vo @@o @@mq @@x x sc tq @@rtangr @@ti @@pe @@x nqvi lr legru kc tq @@do @@px @@ngr @@ne mrkc wq .
78 . Daniel Boerger X Doa lr Manyzdeng	78 . Daniel Boerger x doa lr ma @@nyz @@de @@ngq
Mz Zbqkranzlvqn li mz temz kxesz' , nzayrlwrpx-lxblr-krgr doa lr mztea , mz nzlcapqbzngr x nzalvztrngr nidr mz nqmq ngr mztea , nqmq sc gzpman , x nqmq ngr makxtr .	mz zbqkranzlvqn li mz temz kx @@esz' , nz @@a @@yrlwr @@px @@lxblr @@kr @@gr doa lr mztea , mz nz @@lc @@a @@pq @@bz @@ngr x nz @@alvztr @@ngr nidr mz nqmq ngr mztea , nqmq sc gzpman , x nqmq ngr makxtr .
Kx vcmc kc sc tqalvznetrpexng mz nqmq ngr nzalvztrngr x kabo badr da kx na-alvztr-ngrdr .	kx vo @@mq @@o kc sc tq @@alvz @@ne @@tr @@pe @@x @@lengq mz nqmq ngr nz @@alvztr @@ngr x ka @@bo badr da kx na @@alvztr @@ngr @@dr .
Pulis lc atwzlr-ngrm Mr Lore mrkc Tobaita .	pulis lc atwzlr @@ngr @@mq Mr Lore mrkc Tobaita .
X ninge kc tqyzlupe-moux Boo mz Jenwzri yiz 1956 .	x ninge kc tq @@yzlu @@pe @@mou @@x Boo mz Jenwzri yiz 1956 .
Vopxbzkr mz wop sc tqaglqpekr da kcng .	vo @@px @@bz @@kr mz wop sc tq @@a @@glq @@pe @@kr da kcng .
Buk Ngr Be Rnge :	buk ngr be r @@nge :
Nzoliqti nzvo-krm Filip , ncblo ngr Kwin Elisabet .	nz @@oliqti nz @@vo @@kr @@mq Filip , ncblo ngr Kwin Elisabet .
Yrlzx Bznwz , yrlztix kzdq doa olvz drtqde Dora Yati .	yrlz @@x Bznwz , yrlz @@ti @@x kzdq doa olvz drtq @@de Dora Yati .
Rpibo bade kx mclx ncblo esz'txu esablqpxm x mnc-epelzle kc nctq plastik .	r @@pi @@bo bade kx mc @@x ncblo esz'txu esablq @@px @@mq x mnc @@epe @@lz @@le kc nctq plastik .
Rpibo badr kx , “ Dakc tqpi pripekt kx mcle x trmcleu nide sele .	r @@pi @@bo badr kx , “ da @@kc tq @@pi pripekt kx mc @@le x tr @@mc @@le @@u nide sele .
Vzkr x mwitx-kzkr Poodo , mz kzdq mztea nyz SSEC , murde pulis kc dalr makxtr lcde .	vz @@kr x mwi @@tx @@kz @@kr Poodo , mz kzdq mztea nyz SSEC , murde pulis kc dalr makxtr lcde .
Murde zbq kx nzwzngr leplz amrlx mz lrpzki .	murde zbq kx nz @@wz @@ngr leplz amrlx mz lrpzki .
Kx nzteslr kc ninge sc tzrpipemlr kx nangi ninge ofisz kratq mz lcsu .	kx nz @@tes @@lr kc ninge sc tz @@r @@pi @@pe @@mq @@lr kx na @@ngi ninge ofisz kra @@tq mz lcsu .
"Kzdu nidr nznemilr kx , "" Lrtzlvz kc bqpe drka' !"""	"kzdu nidr nz @@ne @@mi @@lr kx , "" lrtzlvz kc bq @@pe drka' !"""
Nrlc kx ngrlxobzle , nigr kc tqvzpebzkr mz Mama , tqrlxtipebzkr nzvo-krgr .	nrlc kx ngrlx @@o @@bz @@le , nigr kc tq @@vz @@pe @@bz @@kr mz mama , tq @@rlx @@ti @@pe @@bz @@kr nz @@vo @@kr @@gr .
A' rpimle , mrlz navzpx-krmle mz Mama Jon lni Lzpli .	a' r @@pi @@mq @@le , mrlz na @@vz @@px @@kr @@mq @@le mz mama Jon lni Lzpli .
