o sey xtok rixoqiil	o' sea x @@tok r @@ixóqiil
ta' nada chi wi' ra richooch	ta' nada chi wi' ra r @@ichooch
pwes ra jupul jaa qe	pwees ra jup @@ul jaa qe
k'ark'aq jaa qe	k'ark' @@aq jaa qe
xe' juntiir	xe' juntiir
rechaq galani' richoochaq juntiir	rechaq galaan @@i' r @@ichooch @@aq juntiir
qusi' juntiir qleen rechaq,	qus @@i' juntiir qleen rechaq
wi' jkwa'yaq,	wi' j @@kwa'y @@aq
wákixaq.	wakix @@aq
Juntiir qleen rechaq,	juntiir qleen rechaq
i sik' rech'elxikaq	i sik' r @@ch'elxik @@aq
koom, neen tren re jpobriil juun.	koom neen t @@r @@en re j @@pobre @@iil jun
Entoons re xtok rixóqil,	entoons re x @@tok r @@ixóqil
kita' jq'unik twer taq	kita' j @@q'unik t @@wer taq
i kita' juntiir	i kita' juntiir
kita' qleen rechaq,	kita' qleen r @@ech @@aq
i xen taq maq kirtyaan xe' jchajej taq sik' wunaq.	i x @@en taq maq kirtyaan xe' j @@chaje @@j taq sik' wunaq
Jo' qachajej man kristyaan li	jo' qa @@chaje @@j man kirtyaan li
¿nemoo twer laj richooch?	nen @@moo t @@wer laj r @@ichooch
porke ta' k'ii qleen re,	porke ta' k'ii qleen re
tiqil ooj.	ti @@q @@il ooj
Che',	cha'
che' man rech'elxik.	che' man r @@ech'elxik
Jaan.	jaan
Che'	cha'
xe' chajej taq sik' kristyaan	xe' chaje @@j taq sik' kirtyaan
i sik' wunaq twer peech rixóqil.	i sik' wunaq t @@wer peech sik' @@ixóqil
Koom kita' jq'u'aq tresaaj ruuq sik' rixóqil,	koom kita' j @@q'u' @@aq t @@r @@e @@saj r @@uuq sik' r @@ixóqil
tijkoj chirijaq jilon li,	ti @@j @@koj chi @@r @@ij @@aq jilon li
jilon li tijq'asaaj jbidaq chuch uleew	jilon li ti @@j @@q'a @@saaj j @@bida @@aq ch @@uch uleew
i xsaqer laj kaab' q'iij	i x @@saq @@er laj kaab' q'iij
xiij sik' wunaq re sik' rixóqil.	x @@iij sik' wunaq re sik' r @@ixóqil
Inb'eena	in @@b'e @@na
¿abeer neench b'inte'?	abeer neen @@ch b' @@in @@te'
re tiqatiij nojeel q'iij,	re ti @@qa @@tij nojeel q'iij
por ke si ta' ineel ta' nada qleen qe t'ókich.	por ke si ta' in @@eel ta' nada qleen qe t' @@ok @@ich
Che' sik' wunaq re.	cha' sik' wunaq re
Entonses xiij sik' anm re.	entoons x @@b'iij sik' ánim re
Per iin ta' chwaaj tachap alaaq',	per iin ta' ch @@waaj t @@a @@chap alaaq'
