oboyǐ epidzyǎ	o @@bo @@yǐ e @@pidzyǎ
bɔbhɛtɛ yɛ	bɔ @@bhɛtɛ yɛ
pétéé ko,	pétéé ko
err vevétɔ nyimɔ,	err vevétɔ nyimɔ
kɛlɛ shú axwɛ̃ mɛ tsyɛ́ baɖɔ alɛ,	kɛlɛ shú a @@xwɛ̃ mɛ tsyɛ́ ba @@ɖɔ a @@lɛ
blɔ tsɛrɛ blɔ ɔhɔɛ kpasɛ kibui ɛ́ mɛ,	blɔ tsɛrɛ blɔ ɔ @@hɔɛ kpasɛ ki @@bui ɛ́ mɛ
kɔnú kɔ́ wɔ́,	kɔnú kɔ́ wɔ́
flógo pɛ ɔzhĩázhĩá zhĩá wɔ pɛ ɔshɛ̃,	flógo pɛ ɔ @@zhĩá @@zhĩá zhĩá wɔ pɛ ɔ @@shɛ̃
klisoɔ ahĩá sɛ err err blɔ pétéé	kliso @@ɔ a @@hĩá sɛ err err blɔ pétéé
err wonɔ anɔ tabha tɛtá nɛ́ wɔ	err wonɔ a @@nɔ ta @@bha tɛ @@tá nɛ́ wɔ
tɛ kɛpɛ̃ kɔ́ lɔ	tɛ kɛ @@pɛ̃ kɔ́ lɔ
Asafoatsyɛ bɔpã́mɛ Asafoatsyɛ bɔpã́mɛ,	Asafoatsyɛ bɔ @@pã́ @@mɛ Asafoatsyɛ bɔ @@pã́ @@mɛ
kɛlɛnu sɛ batɛ́wa yɛ kúnú,	kɛlɛ @@nu sɛ ba @@tɛ́ @@wa yɛ kúnú
Gɛ ónúpɛ beklǔ takpɛ́kpɛ́ beklǔ blɔ Okúmɛ.	gɛ ónúpɛ be @@klǔ takpɛ́kpɛ́ be @@klǔ blɔ Okú @@mɛ
nɔmɔ?	nɔ @@mɔ
kɛlɛ ɔbhíá nɔ́ bɔsɔlɛ.	kɛlɛ ɔ @@bhíá nɔ́ bɔ @@sɔlɛ
babawɛ̃ benu	ba @@ba @@wɛ̃ be @@nu
